Country,Year,Milk Produced,Number of Dairy Cows
Ireland,2011,5556.2,1035.64
Ireland,2012,5399.3,1060.26
Ireland,2013,5600.7,1082.46
Ireland,2014,5821.3,1127.72
Ireland,2015,6604.41,1239.89
Ireland,2016,6871.94,1295.23
Ireland,2017,7498.94,1343.3
Ireland,2018,7831.25,1369.1
Ireland,2019,8244.87,1425.76
Ireland,2020,8561.47,1456.05
Ireland,2021,9039.99,1505.27
